USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
mdkaif           10564   0.0  1.1 1949206544  92000   ??  S     9:42PM   0:03.99 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=403 --launch-time-ticks=13225124863 --shared-files --metrics-shmem-handle=1752395122,r,12004785251238520982,9139838166033789018,2097152 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709363939736641 --seatbelt-client=311
mdkaif           10533   0.0  0.1 435422560  12224   ??  S     9:41PM   0:01.51 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
mdkaif           10368   0.0  0.2 435553376  14800   ??  S     9:36PM   0:03.47 /System/Library/CoreServices/iconservicesagent
mdkaif           10338   0.0  0.8 1949403520  70752   ??  S     9:35PM   0:19.97 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=357 --launch-time-ticks=12838716948 --shared-files --metrics-shmem-handle=1752395122,r,6681450486232942554,1014847737057228744,2097152 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709320835811587 --seatbelt-client=312
mdkaif           10231   0.0  0.1 435353216  11120   ??  Ss    9:31PM   0:00.64 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
mdkaif           10173   0.0  0.1 435354256   7008   ??  S     9:31PM   0:00.45 /usr/libexec/secinitd
mdkaif           10168   0.0  0.1 435338144   7200   ??  S     9:31PM   0:00.69 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
mdkaif           10162   0.0  0.1 435339136   4944   ??  S     9:30PM   0:00.17 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
mdkaif           10161   0.0  0.1 435352720   9808   ??  S     9:30PM   0:00.58 /usr/libexec/pkd
_trustd          10150   0.0  0.1 435342368   8960   ??  Ss    9:30PM   0:01.07 /usr/libexec/trustd
root             10144   0.0  0.1 435371888   9920   ??  Ss    9:30PM   0:02.80 /usr/libexec/coreduetd
root             10135   0.0  0.0 435304848   3040   ??  Ss    9:30PM   0:00.24 /usr/libexec/usermanagerd -t 15
mdkaif           10133   0.0  0.2 435357152  14240   ??  S     9:30PM   0:06.08 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
mdkaif           10132   0.0  0.1 435343984  11888   ??  S     9:30PM   0:00.78 /System/Library/CoreServices/audioaccessoryd
root             10083   0.0  0.1 435339104   6480   ??  Ss    9:29PM   0:00.59 /usr/libexec/audioanalyticsd
root             10028   0.0  0.0 435338896   3968   ??  Ss    9:26PM   0:00.59 /usr/libexec/nehelper
root             10024   0.0  0.1 435340736   5936   ??  Ss    9:26PM   0:00.20 /usr/libexec/rtcreportingd
mdkaif            9965   0.0  0.1 435357728  11728   ??  S     9:26PM   0:02.62 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
mdkaif            9958   0.0  0.2 1949139568  20224   ??  S     9:26PM   0:00.18 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.134/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer) --type=renderer --metrics-client-id=d1d9ffe3-13af-4785-acbb-ec52adc5c200 --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=33 --time-ticks-at-unix-epoch=-1788438706721144 --launch-time-ticks=12265413003 --shared-files --metrics-shmem-handle=1752395122,r,14093504599971204335,12055291980377152543,2097152 --field-trial-handle=1718379636,r,16584638885211851164,14275676617098472900,262144 --variations-seed-version=main@83e246fcc48cfd0a6ef66d45d195221fbbc4c222 --pseudonymization-salt-handle=1935764596,r,235918768463049162,6167813045259470338,4 --trace-process-track-uuid=3190709017234252511 --seatbelt-client=173
mdkaif            9878   0.0  0.0 435301376   1904   ??  S     9:23PM   0:00.02 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
mdkaif            9855   0.0  0.4 1949383312  34464   ??  S     9:23PM   0:14.31 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.134/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer) --type=renderer --metrics-client-id=d1d9ffe3-13af-4785-acbb-ec52adc5c200 --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=21 --time-ticks-at-unix-epoch=-1788438706721144 --launch-time-ticks=12102823936 --shared-files --metrics-shmem-handle=1752395122,r,16184212574776010842,7744502720093335165,2097152 --field-trial-handle=1718379636,r,16584638885211851164,14275676617098472900,262144 --variations-seed-version=main@83e246fcc48cfd0a6ef66d45d195221fbbc4c222 --pseudonymization-salt-handle=1935764596,r,235918768463049162,6167813045259470338,4 --trace-process-track-uuid=3190709005989750323 --seatbelt-client=161
mdkaif            9831   0.0  0.5 1949198736  41760   ??  S     9:23PM   0:01.77 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.134/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer) --type=renderer --metrics-client-id=d1d9ffe3-13af-4785-acbb-ec52adc5c200 --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=10 --time-ticks-at-unix-epoch=-1788438706721144 --launch-time-ticks=12077766992 --shared-files --metrics-shmem-handle=1752395122,r,236491585655251783,5493897933477206578,2097152 --field-trial-handle=1718379636,r,16584638885211851164,14275676617098472900,262144 --variations-seed-version=main@83e246fcc48cfd0a6ef66d45d195221fbbc4c222 --pseudonymization-salt-handle=1935764596,r,235918768463049162,6167813045259470338,4 --trace-process-track-uuid=3190708995682289984 --seatbelt-client=116
mdkaif            9824   0.0  0.5 1951156192  42704   ??  S     9:23PM   0:04.43 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.134/Helpers/Brave Browser Helper (Renderer).app/Contents/MacOS/Brave Browser Helper (Renderer) --type=renderer --metrics-client-id=d1d9ffe3-13af-4785-acbb-ec52adc5c200 --extension-process --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9 --time-ticks-at-unix-epoch=-1788438706721144 --launch-time-ticks=12077325362 --shared-files --metrics-shmem-handle=1752395122,r,6916062660674828784,2802409127457294711,2097152 --field-trial-handle=1718379636,r,16584638885211851164,14275676617098472900,262144 --variations-seed-version=main@83e246fcc48cfd0a6ef66d45d195221fbbc4c222 --pseudonymization-salt-handle=1935764596,r,235918768463049162,6167813045259470338,4 --trace-process-track-uuid=3190708994745248135 --seatbelt-client=89
mdkaif            9814   0.0  0.2 486104544  16336   ??  S     9:23PM   0:00.26 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.134/Helpers/Brave Browser Helper.app/Contents/MacOS/Brave Browser Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --metrics-client-id=d1d9ffe3-13af-4785-acbb-ec52adc5c200 --shared-files --metrics-shmem-handle=1752395122,r,17991546294812979809,4399386733212639228,524288 --field-trial-handle=1718379636,r,16584638885211851164,14275676617098472900,262144 --variations-seed-version=main@83e246fcc48cfd0a6ef66d45d195221fbbc4c222 --pseudonymization-salt-handle=1935764596,r,235918768463049162,6167813045259470338,4 --trace-process-track-uuid=3190708990060038890 --seatbelt-client=40
mdkaif            9813   0.0  0.4 486154992  31680   ??  S     9:23PM   0:02.68 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.134/Helpers/Brave Browser Helper.app/Contents/MacOS/Brave Browser Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --metrics-client-id=d1d9ffe3-13af-4785-acbb-ec52adc5c200 --start-stack-profiler --shared-files --metrics-shmem-handle=1752395122,r,15576735279285102604,9296829986889713683,524288 --field-trial-handle=1718379636,r,16584638885211851164,14275676617098472900,262144 --variations-seed-version=main@83e246fcc48cfd0a6ef66d45d195221fbbc4c222 --pseudonymization-salt-handle=1935764596,r,235918768463049162,6167813045259470338,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=29
mdkaif            9812   0.0  0.5 486440608  38880   ??  S     9:23PM   0:12.78 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.134/Helpers/Brave Browser Helper.app/Contents/MacOS/Brave Browser Helper --type=gpu-process --metrics-client-id=d1d9ffe3-13af-4785-acbb-ec52adc5c200 --start-stack-profiler --gpu-preferences=WAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAADAAAAAEAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files --metrics-shmem-handle=1752395122,r,7303645478956874579,1663056536814848964,262144 --field-trial-handle=1718379636,r,16584638885211851164,14275676617098472900,262144 --variations-seed-version=main@83e246fcc48cfd0a6ef66d45d195221fbbc4c222 --pseudonymization-salt-handle=1935764596,r,235918768463049162,6167813045259470338,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=29
mdkaif            9808   0.0  0.1 485701728   5104   ??  S     9:23PM   0:00.02 /Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/151.1.93.134/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/mdkaif/Library/Application Support/BraveSoftware/Brave-Browser/Crashpad --metrics-dir=/Users/mdkaif/Library/Application Support/BraveSoftware/Brave-Browser --url=https://cr.brave.com --annotation=plat=OS X --annotation=prod=Brave_Mac --annotation=ver=151.1.93.134 --handshake-fd=5
_diskimagesiod    9754   0.0  0.0 435452064   3184   ??  Ss    9:22PM   1:02.40 /usr/libexec/diskimagesiod
mdkaif            9704   0.0  0.2 435532224  13632   ??  Ss    9:21PM   0:01.42 /Applications/WhatsApp.app/Contents/PlugIns/ServiceExtension.appex/Contents/MacOS/ServiceExtension -AppleLanguages ("en-IN", "en-GB")
_netbios          9703   0.0  0.1 435340496   6048   ??  SNs   9:21PM   0:02.06 /usr/sbin/netbiosd
_assetcache       9685   0.0  0.1 435346080   5040   ??  Ss    9:21PM   0:00.44 /usr/libexec/AssetCache/AssetCache
mdkaif            9626   0.0  0.4 1949205360  30176   ??  S     7:48PM   0:01.21 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=293 --launch-time-ticks=11844058905 --shared-files --metrics-shmem-handle=1752395122,r,154896075122211503,8085391539237700486,2097152 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709260865133251 --seatbelt-client=302
mdkaif            9189   0.0  0.3 1890450368  27680   ??  S     4:24PM   0:01.02 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Plugin).app/Contents/MacOS/Antigravity IDE Helper (Plugin) /Users/mdkaif/.antigravity-ide/extensions/redhat.vscode-yaml-1.24.0-universal/dist/languageserver.js --node-ipc --clientProcessId=8946
mdkaif            9186   0.0  0.1 446394736   6512   ??  S     4:24PM   0:00.72 chrome-devtools-mcp    
mdkaif            9114   0.0  0.1 435889520   6640   ??  S     4:23PM   0:01.56 npm exec chrome-devtools-mcp@latest --autoConnect --no-usage-statistics --no-performance-crux      
mdkaif            8977   0.0  0.3 436956656  26400   ??  S     4:23PM   0:09.76 /Applications/Antigravity IDE.app/Contents/Resources/app/extensions/antigravity/bin/language_server_macos_arm --enable_lsp --csrf_token b3c314d1-3cb2-40d8-b1af-cc8829af52f5 --extension_server_port 51785 --extension_server_csrf_token 1c703adc-7311-4b20-bd30-c8baa8e054aa --workspace_id file_Users_mdkaif_Desktop_Linux_20Fundamentals --cloud_code_endpoint https://daily-cloudcode-pa.googleapis.com --subclient_type ide --app_data_dir antigravity-ide --parent_pipe_path /var/folders/01/lfnzdv5104gfsql79pqw58l00000gn/T/server_eb37191fc7c5ccbd
mdkaif            8965   0.0  0.0 435310208    480 s005  Ss+   4:23PM   0:00.55 /opt/homebrew/bin/zsh -il
mdkaif            8958   0.0  0.4 1892232608  30928   ??  S     4:23PM   0:02.68 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/mdkaif/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,6996057296141284577,18218621551840038112,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190709004115666625
mdkaif            8947   0.0  0.4 1890417392  29856   ??  S     4:23PM   0:00.81 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Plugin).app/Contents/MacOS/Antigravity IDE Helper (Plugin) /Applications/Antigravity IDE.app/Contents/Resources/app/extensions/markdown-language-features/dist/serverWorkerMain --node-ipc --clientProcessId=8946
mdkaif            8946   0.0  1.0 1892223008  83008   ??  S     4:23PM   0:35.14 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Plugin).app/Contents/MacOS/Antigravity IDE Helper (Plugin) --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --user-data-dir=/Users/mdkaif/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,6996057296141284577,18218621551840038112,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190709002241582927
mdkaif            8371   0.0  0.4 1949423344  30608   ??  S     4:11PM   1:00.74 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=254 --launch-time-ticks=9565389525 --shared-files --metrics-shmem-handle=1752395122,r,10606031545142156617,10159011660701686427,2097152 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709224320501140 --seatbelt-client=309
mdkaif            8302   0.0  0.1 435393952  12192   ??  S     4:07PM   0:10.31 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
mdkaif            8246   0.0  0.1 435368576  10912   ??  S     4:05PM   0:06.74 /System/Library/CoreServices/talagentd
_appinstalld      8045   0.0  0.0 435305760   2000   ??  S     4:00PM   0:00.27 /usr/sbin/distnoted agent
mdkaif            8042   0.0  0.1 435355872   5792   ??  Ss    4:00PM   0:00.13 /System/Applications/System Settings.app/Contents/PlugIns/csimporter.appex/Contents/MacOS/csimporter -AppleLanguages ("en-IN", "en-GB")
devtest           8009   0.0  0.1 435350688   5184   ??  S     3:59PM   0:31.97 /usr/libexec/lsd
devtest           8005   0.0  0.1 435351168   4528   ??  SN    3:59PM   0:00.95 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
devtest           8004   0.0  0.0 435304784   2240   ??  S     3:59PM   0:00.30 /usr/sbin/distnoted agent
mdkaif            7512   0.0  0.1 446395088   6432   ??  S     3:45PM   0:00.73 chrome-devtools-mcp    
mdkaif            7154   0.0  0.1 435889744   6560   ??  S     3:45PM   0:01.77 npm exec chrome-devtools-mcp@latest --autoConnect --no-usage-statistics --no-performance-crux      
mdkaif            6796   0.0  0.5 1892230640  41856   ??  S     3:45PM   0:20.89 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/mdkaif/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,6996057296141284577,18218621551840038112,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708994745248135
mdkaif            6794   0.0  0.2 469221056  18576   ??  S     3:45PM   0:00.88 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Plugin).app/Contents/MacOS/Antigravity IDE Helper (Plugin) --type=utility --utility-sub-type=video_capture.mojom.VideoCaptureService --lang=en-GB --service-sandbox-type=none --message-loop-type-ui --user-data-dir=/Users/mdkaif/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,6996057296141284577,18218621551840038112,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708991934122588
mdkaif            6793   0.0  0.2 469214480  18816   ??  S     3:45PM   0:06.03 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --message-loop-type-ui --user-data-dir=/Users/mdkaif/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,6996057296141284577,18218621551840038112,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708990997080739 --seatbelt-client=83
mdkaif            6702   0.0  0.4 469244688  29712   ??  S     3:45PM   0:07.85 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --user-data-dir=/Users/mdkaif/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,6996057296141284577,18218621551840038112,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708989122997041 --seatbelt-client=33
mdkaif            6700   0.0  0.1 468922464   4576   ??  S     3:45PM   0:00.02 /Applications/Antigravity IDE.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=/Users/mdkaif/Library/Application Support/Antigravity IDE/Crashpad --annotation=_companyName=Google --annotation=_productName=Antigravity IDE --annotation=_version=1.107.0 --annotation=plat=OS X --annotation=prod=Electron --annotation=ver=39.2.3 --handshake-fd=21
mdkaif            6077   0.0  0.2 1949208256  20368   ??  S     3:38PM   0:10.00 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=166 --launch-time-ticks=7844601635 --shared-files --metrics-shmem-handle=1752395122,r,16480236558239946617,682326033192238613,2097152 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709141860818428 --seatbelt-client=217
mdkaif            5487   0.0  0.1 1949306720   8656   ??  S     3:19PM   0:01.39 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper /Applications/Visual Studio Code.app/Contents/Resources/app/node_modules.asar.unpacked/@github/copilot-darwin-arm64/index.js --headless --no-auto-update --log-level info --stdio --no-auto-login
